rating,major,title,image_urls,link,images,rating_nums
7.7,"
      
          导演: 三宅喜重 / 木內健人 / 白木啟一郎
            
          主演: 江口洋介 / 稻垣吾郎 / 北大路欣也
            
          类型: 剧情 / 悬疑
            
          制片国家/地区: 日本
            
          年份: 2009
    ","
        三角迷踪 Triangle～トライアングル
      ",,http://movie.douban.com/subject/3439455/,,
7.7,"
      
          导演: 水田伸生
            
          主演: 堺雅人 / 苍井优 / 吉濑美智子
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        Dr.伦太郎 Dr.倫太郎
      ",,http://movie.douban.com/subject/26314383/,,
9.1,"
      
          导演: 金子文纪 / 片山修 / 坪井敏雄
            
          主演: 长濑智也 / 冈田准一 / 伊东美咲
            
          类型: 剧情 / 喜剧
            
          制片国家/地区: 日本
            
          年份: 2005
    ","
        虎与龙SP タイガー＆ドラゴンSP 「三枚起請の回」
      ",,http://movie.douban.com/subject/3118848/,,
8.8,"
      
          导演: 福田雄一
            
          主演: 山田孝之 / 木南晴夏 / 室毅
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2011
    ","
        勇者义彦与魔王城 勇者ヨシヒコと魔王の城
      ",,http://movie.douban.com/subject/6402151/,,
7.6,"
      
          导演: 七高剛 / 田村直己
            
          主演: 木村拓哉 / 上户彩 / 水野美纪
            
          类型: 剧情 / 悬疑
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        I'm Home アイムホーム
      ",,http://movie.douban.com/subject/26309938/,,
7.8,"
      
          导演: 坪井敏雄 / 山本剛義 / 伊藤雄介
            
          主演: 松雪泰子 / 伊藤淳史 / 北山宏光
            
          类型: 剧情 / 悬疑 / 家庭
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        家族狩猎 家族狩り
      ",,http://movie.douban.com/subject/25880993/,,
8.8,"
      
          导演: 是枝裕和
            
          主演: 阿部宽 / 山口智子 / 宫崎葵
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2012
    ","
        回我的家 ゴーイング マイ ホーム
      ",,http://movie.douban.com/subject/10777710/,,
7.9,"
      
          导演: 吉田健 / 酒井聖博 / 松田礼人
            
          主演: 山下智久 / 栗山千明 / 洼田正孝
            
          类型: 爱情 / 科幻
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        献给阿尔吉侬的花束 アルジャーノンに花束を
      ",,http://movie.douban.com/subject/26322632/,,
8.5,"
      
          导演: 水田成英  / 川村泰祐 / 松山博昭
            
          主演: 米姆拉 / 小田切让 / 松雪泰子
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2003
    ","
        司法研习八人组 ビギナー
      ",,http://movie.douban.com/subject/2295864/,,
8.7,"
      
          导演: 中江功 / 泽田镰作
            
          主演: 木村拓哉 / 竹内结子 / 坂口宪二
            
          类型: 剧情 / 运动
            
          制片国家/地区: 日本
            
          年份: 2004
    ","
        冰上恋人 プライド
      ",,http://movie.douban.com/subject/1482286/,,
